date_time,ID_service,carrier,service_category,type_service,capacity,rate,cost
,,,,,,,0.0
2021-12-01,CLI_LKCWE15001,CW,Interconexión Nacional,E1,,570000.0,18387.09677419355
2021-12-01,CLI_LKCWE15002,CW,Interconexión Nacional,E1,,570000.0,18387.09677419355
2021-12-01,CLI_LKCWE15003,CW,Interconexión Nacional,E1,,570000.0,18387.09677419355
2021-12-01,CLI_LKCWE15004,CW,Interconexión Nacional,E1,,570000.0,18387.09677419355
2021-12-01,CLI_LKCWE15005,CW,Interconexión Nacional,E1,,570000.0,18387.09677419355
2021-12-01,CLI_LKCWE15006,CW,Interconexión Nacional,E1,,570000.0,18387.09677419355
2021-12-01,CLI_LKCWE15007,CW,Interconexión Nacional,E1,,570000.0,18387.09677419355
2021-12-01,CLI_LKCWE15008,CW,Interconexión Nacional,E1,,570000.0,18387.09677419355
2021-12-01,CLI_LKCWE15009,CW,Interconexión Nacional,E1,,570000.0,18387.09677419355
2021-12-01,CLI_LKCWE15010,CW,Interconexión Nacional,E1,,570000.0,18387.09677419355
2021-12-01,CLI_LKCWE15011,CW,Interconexión Nacional,E1,,570000.0,18387.09677419355
2021-12-01,CLI_LKCWE15012,CW,Interconexión Nacional,E1,,570000.0,18387.09677419355
2021-12-01,CLI_LKCWE15013,CW,Interconexión Nacional,E1,,570000.0,18387.09677419355
2021-12-01,CLI_LKCWE15014,CW,Interconexión Nacional,E1,,570000.0,18387.09677419355
2021-12-01,CLI_LKCWE15015,CW,Interconexión Nacional,E1,,570000.0,18387.09677419355
2021-12-01,CLI_LKCWE15016,CW,Interconexión Nacional,E1,,570000.0,18387.09677419355
2021-12-01,CLI_LKCWE15017,CW,Interconexión Nacional,E1,,570000.0,18387.09677419355
2021-12-01,CLI_LKCWE15018,CW,Interconexión Nacional,E1,,570000.0,18387.09677419355
2021-12-01,CLI_LKCWE15019,CW,Interconexión Nacional,E1,,570000.0,18387.09677419355
2021-12-01,CLI_LKCWE15020,CW,Interconexión Nacional,E1,,570000.0,18387.09677419355
2021-12-01,CLI_LKCWE15021,CW,Interconexión Nacional,E1,,570000.0,18387.09677419355
2021-12-01,CLI_LKCWE15022,CW,Interconexión Nacional,E1,,570000.0,18387.09677419355
2021-12-01,CLI_LKCWE15023,CW,Interconexión Nacional,E1,,570000.0,18387.09677419355
2021-12-01,CLI_LKCWE15024,CW,Interconexión Nacional,E1,,570000.0,18387.09677419355
2021-12-01,CLI_LKCWE16001,CW,Interconexión Nacional,E1,,570000.0,18387.09677419355
2021-12-01,CLI_LKCWE16002,CW,Interconexión Nacional,E1,,570000.0,18387.09677419355
2021-12-01,CLI_LKCWE16003,CW,Interconexión Nacional,E1,,570000.0,18387.09677419355
2021-12-01,CLI_LKCWE16004,CW,Interconexión Nacional,E1,,570000.0,18387.09677419355
2021-12-01,CLI_LKCWE16005,CW,Interconexión Nacional,E1,,570000.0,18387.09677419355
2021-12-01,CLI_LKCWE16006,CW,Interconexión Nacional,E1,,570000.0,18387.09677419355
2021-12-01,CLI_LKCWE16007,CW,Interconexión Nacional,E1,,570000.0,18387.09677419355
2021-12-01,CLI_LKCWE16008,CW,Interconexión Nacional,E1,,570000.0,18387.09677419355
2021-12-01,BQL_LKCWVC5001,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5002,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5003,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5004,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5005,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5006,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5007,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5008,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5009,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5010,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5011,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5012,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5013,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5014,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5015,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5016,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5017,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5018,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5019,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5020,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5021,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5022,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5023,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5024,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5025,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5026,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5027,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5028,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5029,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5030,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5031,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5032,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5033,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5034,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5035,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5036,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5037,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5038,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5039,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5040,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5041,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5042,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5043,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5044,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5045,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5046,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5047,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
2021-12-01,BQL_LKCWVC5048,CW,Interconexión Nacional,VC,,550000.0,17741.935483870966
